season_start_date,final_yield_t_ha,geographic_level,source_name,source_url_or_id,original_unit,retrieved_date,crop
2015-08-01,2.305,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2016-08-01,2.417,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2017-08-01,2.469,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2018-08-01,2.553,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2019-08-01,2.622,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2020-08-01,2.607,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2021-08-01,2.705,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2022-08-01,2.735,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2023-08-01,2.78,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
2024-08-01,2.825,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice
