season_start_date,final_yield_t_ha,geographic_level,source_name,source_url_or_id,original_unit,retrieved_date,crop
2015-11-01,3.034,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2016-11-01,3.2,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2017-11-01,3.368,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2018-11-01,3.533,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2019-11-01,3.44,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2020-11-01,3.521,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2021-11-01,3.537,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2022-11-01,3.521,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2023-11-01,3.559,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
2024-11-01,3.595,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,wheat_punjab
